,Jahr,"Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Total","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Pocken","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Schar-","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Masern","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Typhus,","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Diph-","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Keuch-","Infektions- und parasitäre Krankheiten | Pocken, Scharlach, Masern, Typhus, Diphtherie, Keuchhusten | Keuch-",Infektions- und parasitäre Krankheiten | Tuberkulose | Total,Infektions- und parasitäre Krankheiten | Tuberkulose | Atmungsorgane,Infektions- und parasitäre Krankheiten | Tuberkulose | Atmungsorgane,Infektions- und parasitäre Krankheiten | Tuberkulose | Übrige Organe,Infektions- und parasitäre Krankheiten | Tuberkulose | Übrige Organe,Infektions- und parasitäre Krankheiten | Tuberkulose | Übrige Organe,Infektions- und parasitäre Krankheiten | Tuberkulose | Übrige Organe,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Total,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Epidem.,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Rotlauf,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Syphilis,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Aids,Infektions- und parasitäre Krankheiten | Übrige Krankheiten 4) | Aids,Infektions- und parasitäre Krankheiten | Total | Aids,Infektions- und parasitäre Krankheiten | Total | Aids,Atmungsorgane | Total | Aids,Atmungsorgane | Grippe | Aids,Atmungsorgane | Lungen- | entzün-,Atmungsorgane | Bron- | chitis,Atmungsorgane | Bron- | chitis,Jahr | Bron- | chitis,Neubildungen | Total | chitis,Neubildungen | Krebs (bösartige Geschwülste) | Total,"Neubildungen | Krebs (bösartige Geschwülste) | Magen,",Neubildungen | Krebs (bösartige Geschwülste) | Weibl.,Neubildungen | Krebs (bösartige Geschwülste) | Bron-,Neubildungen | Krebs (bösartige Geschwülste) | Bron-,Nervensystem und Kreislauforgane | Total | Bron-,Nervensystem und Kreislauforgane | Nervensystem | Total,Nervensystem und Kreislauforgane | Nervensystem | Hirn-,Nervensystem und Kreislauforgane | Kreislauforgane | Total,Nervensystem und Kreislauforgane | Kreislauforgane | Herz-,Nervensystem und Kreislauforgane | Kreislauforgane | Arterien-,Nervensystem und Kreislauforgane | Kreislauforgane | Arterien-,"Blut, Stoffwechsel 8) | Total | Arterien-","Blut, Stoffwechsel 8) | Anämie, | Leukä-","Blut, Stoffwechsel 8) | Zucker- | krankheit","Blut, Stoffwechsel 8) | Zucker- | krankheit","Ernährungsapparat, Verdauungsorgane | Total | krankheit","Ernährungsapparat, Verdauungsorgane | Magen-Darm-Katarrh | Säuglinge","Ernährungsapparat, Verdauungsorgane | Magen-Darm-Katarrh | Erwach-","Ernährungsapparat, Verdauungsorgane | Magen- | Darm-","Ernährungsapparat, Verdauungsorgane | Blind- | darm-","Ernährungsapparat, Verdauungsorgane | Leber- | zirrhose","Ernährungsapparat, Verdauungsorgane | Leber- | zirrhose",Harnapparat | Total | zirrhose,Harnapparat | Nieren- | entzün-,Harnapparat | Nieren- | entzün-,Jahr | Nieren- | entzün-,Gewaltsamer Tod | Total | entzün-,Gewaltsamer Tod | Selbst- | tötung,Gewaltsamer Tod | Unfälle | Total,Gewaltsamer Tod | Unfälle | Verkehrsunfälle,Gewaltsamer Tod | Unfälle | Verkehrsunfälle,Gewaltsamer Tod | Unfälle | Verkehrsunfälle,Gewaltsamer Tod | Unfälle | Verkehrsunfälle,Gewaltsamer Tod | Unfälle | Sturz,Gewaltsamer Tod | Unfälle | Er-,"Gewaltsamer Tod | Mord, Totschlag, | unklare Ursache","Gewaltsamer Tod | Mord, Totschlag, | unklare Ursache","Gewaltsamer Tod | Mord, Totschlag, | unklare Ursache",Übrige bekannte Todesursachen | Total | unklare Ursache,Übrige bekannte Todesursachen | Chroni- | scher,Übrige bekannte Todesursachen | Schwanger- | schaft u.,Übrige bekannte Todesursachen | Angeborene Säug- | lingskrankheiten,Übrige bekannte Todesursachen | Angeborene Säug- | lingskrankheiten,Übrige bekannte Todesursachen | Alters- | schwäche,Übrige bekannte Todesursachen | Alters- | schwäche,Unbekannte Todesursachen | Arzt | beige-,Unbekannte Todesursachen | Arzt | nicht bei-,Unbekannte Todesursachen | Total | nicht bei-,Unbekannte Todesursachen | Total | nicht bei-,Gesamt- | total | nicht bei-
13,1889,3187,3,429,470,481,1070,734,,8097,6284,6165,1813,786,600,,764,...,161,52,...,,12048,,9780,53,4843,...,,1889,3468,3354,1827,142,11,,10098,...,2503,...,...,...,,824.2,239,78,,5769,3259,464,259,94,395,,1231,1023,,1889,2391,663,1613,173,...,...,...,505,306,115,86,,8455.8,284,625,3481,...,...,,290,5360,5650,,59715
14,1890,2930,32,400,481,441,990,586,,8660,6760,6639,1900,856,527,,750,...,124,60,...,,12340,,12160,563,6178,...,,1890,3544,3405,1853,152,16,,10175,...,2564,...,...,...,,1115.4,339,90,,5562,3181,499,235,124,326,,1177,949,,1890,2336,633,1584,152,...,...,...,520,315,119,84,,7856.5999999999985,303,514,3579,...,...,,414,5125,5539,,61805
15,1891,3563,26,533,594,349,1337,724,,8284,6269,6141,2015,790,673,,825,...,161,75,...,,12672,,10700,133,5366,...,,1891,3662,3528,1965,163,13,,9815,...,2522,...,...,...,,1011.4,283,106,,5784,3498,503,221,130,308,,1270,1037,,1891,2515,652,1728,277,...,...,...,456,354,135,86,,8511.599999999999,276,665,3756,...,...,,416,4826,5242,,61183
16,1892,2604,35,211,316,345,1135,562,,7906,5890,5785,2016,797,616,,729,...,114,94,...,,11239,,9484,271,4677,...,,1892,3841,3706,2019,186,18,,9469,...,2454,...,...,...,,993.2,259,123,,5944,3616,480,243,155,336,,1215,1005,,1892,2385,611,1630,169,...,...,...,492,347,144,90,,7873.799999999999,372,536,3537,...,...,,494,4240,4734,,57178
17,1893,3379,15,138,870,380,1599,377,,7831,5845,5756,1986,747,629,,867,...,206,101,...,,12077,,10879,660,5426,...,,1893,3796,3653,1986,172,23,,9479,...,2431,...,...,...,,1068.6,294,117,,6288,3832,516,228,204,333,,1295,1070,,1893,2614,710,1767,197,...,...,...,564,345,137,87,,8680.400000000001,383,617,3631,...,...,,450,4432,4882,,61059
18,1894,3508,51,58,473,302,1930,694,,8405,6309,6222,2096,913,561,,909,...,202,102,...,,12822,,11693,604,5969,...,,1894,3840,3702,2086,171,9,,9891,...,2389,...,...,...,,1112.8,287,141,,5421,3184,423,229,174,369,,1340,1093,,1894,2534,708,1693,228,...,...,...,518,326,133,92,,8507.2,351,588,3649,...,...,,464,4260,4724,,61885
19,1895,2133,1,62,185,305,999,581,,8592,6454,6377,2138,907,560,,794,...,134,126,...,,11519,,10058,247,4961,...,,1895,4077,3923,2150,185,13,,9838,...,2404,...,...,...,,1073.8,286,127,,6587,4094,539,247,203,394,,1446,1230,,1895,2473,650,1694,176,...,...,...,494,357,129,85,,8472.2,330,498,3740,...,...,,386,3817,4203,,59747
20,1896,2167,8,89,423,288,848,511,,8343,6126,6051,2217,903,654,,772,...,102,129,...,,11282,,8791,99,4467,...,,1896,4052,3916,2144,190,16,,9961,...,2247,...,...,...,,1024.4,279,115,,5024,2776,436,234,211,349,,1342,1085,,1896,2595,690,1744,217,...,...,...,504,362,161,95,,8201.599999999999,307,473,3764,...,...,,312,3511,3823,,56096
21,1897,1817,1,47,272,261,760,476,,8458,6182,6106,2276,978,659,,729,...,85,131,...,,11004,,8446,78,4289,...,,1897,4222,4088,2265,180,10,,9834,...,2261,...,...,...,,1055.6,282,124,,6253,3921,474,233,210,335,,1319,1089,,1897,2633,687,1812,236,...,...,...,518,375,134,82,,7991.4000000000015,262,439,3784,...,...,,395,3246,3641,,56399
22,1898,2137,2,34,354,308,994,445,,8234,6041,5984,2193,870,698,,777,...,89,162,...,,11148,,8997,89,4767,...,,1898,4222,4125,2255,192,18,,9981,...,2210,...,...,...,,1097.2,261,161,,7429,5011,512,219,250,370,,1385,1163,,1898,2618,690,1800,226,...,...,...,583,337,128,87,,8213.8,395,472,3918,...,...,,377,3446,3823,,58914
23,1899,2281,3,38,264,269,1106,601,,7976,5867,5823,2109,875,638,,767,...,112,151,...,,11024,,8902,43,4969,...,,1899,4246,4130,2313,200,17,,10047,...,2102,...,...,...,,980.2,222,155,,6251,3780,431,247,297,368,,1405,1190,,1899,2887,724,2037,266,...,...,...,611,368,126,95,,8823.8,413,551,3346,...,...,,409,2616,3025,,57591
24,1900,2769,30,34,809,220,981,695,,9037,6748,6692,2289,985,687,,830,...,98,143,...,,12636,,10809,204,5983,...,,1900,4418,4285,2430,175,17,,10209,...,2152,...,...,...,,1170,264,186,,6539,4150,432,216,277,393,,1404,1210,,1900,2822,764,1908,247,...,...,...,594,324,150,99,,10511,242,523,4094,...,...,,460,2628,3088,,63606
25,1901*,3075,37,71,829,240,1052,846,,8920,6308,6241,2612,1032,626,,959,10,107,190,...,,12954,,9044,25,4325,...,,1901*,4271,4095,2543,197,15,,10602,3231,1911,7371,4868,2054,,1153,247,190,,6338,3767,427,265,300,414,,1272,1095,,1901*,3064,747,2159,264,...,...,...,703,346,158,107,,7929,201,600,3908,3327,2227,,697,2694,3391,,60018
26,1902,1976,2,73,456,207,726,512,,8840,6329,6280,2511,1047,568,,783,8,94,150,...,,11599,,8237,18,4051,...,,1902,4258,4073,2550,225,15,,10615,3254,1603,7361,5023,1930,,1127,234,183,,6588,3936,450,246,353,430,,1339,1150,,1902,2868,769,1977,247,...,...,...,641,327,122,83,,7992,210,524,3973,3487,2460,,726,2353,3079,,57702
27,1903,1981,4,162,545,169,540,561,,9033,6421,6380,2612,1044,633,,877,7,123,159,...,,11891,,9606,59,4887,...,,1903,4447,4229,2621,220,23,,11040,3412,1693,7628,5201,1959,,1180,207,207,,6443,3812,437,236,399,423,,1319,1134,,1903,2899,779,1993,248,...,...,...,673,309,127,87,,8064,209,577,3986,3427,2360,,657,2080,2737,,59626
28,1904,2812,4,279,821,265,607,836,,9233,6497,6452,2736,1045,676,,834,8,95,154,...,,12879,,8576,22,4370,...,,1904,4463,4246,2575,239,27,,11153,3397,1657,7756,5239,2075,,1157,241,204,,7015,4252,544,227,402,416,,1378,1175,,1904,3067,850,2098,249,...,...,...,648,353,119,84,,8336,255,610,4303,3683,2299,,691,2142,2833,,60857
29,1905,2501,36,312,657,174,668,654,,9437,6703,6630,2734,1084,664,,922,11,137,151,...,,12860,,9827,1202,4170,...,,1905,4555,4302,2693,235,24,,11792,3797,2015,7995,5546,1994,,1156,244,225,,5878,3350,430,214,412,421,,1460,1243,,1905,3037,791,2081,286,...,...,...,647,353,165,103,,8176,247,567,3895,3262,2531,,775,2284,3059,,61800
30,1906,2068,14,153,569,167,516,649,,8948,6485,6407,2463,1011,461,,840,12,103,167,...,,11856,,8003,486,3862,...,,1906,4593,4342,2632,249,25,,11889,3907,1970,7982,5714,1734,,1041,277,213,,6605,3930,478,243,444,438,,1489,1335,,1906,2970,734,2080,266,...,...,...,637,342,156,96,,8177,269,501,3798,3157,2706,,645,1936,2581,,59204
31,1907,1898,8,140,613,176,528,433,,8866,6147,6063,2719,1089,476,,1000,26,156,192,...,,11764,,8852,1018,4132,...,,1907,4413,4174,2564,231,33,,12036,3740,1823,8296,5716,1946,,1104,306,240,,5773,2995,444,253,405,510,,1453,1312,,1907,2994,829,2042,308,...,...,...,627,283,123,85,,8114,241,561,3870,3113,2582,,896,1853,2749,,59252
32,1908,1564,2,147,226,135,565,489,,8627,6226,6150,2401,785,516,,933,21,90,198,...,,11124,,8394,663,4172,...,,1908,4669,4387,2723,258,27,,12112,3372,1700,8740,5830,2444,,1245,262,277,,5208,2580,349,208,430,496,,1372,1219,,1908,3146,822,2148,275,...,...,...,623,299,176,93,,8084,195,566,3811,2972,2541,,623,1720,2343,,57697
33,1909,2085,3,170,373,113,580,846,,8566,6086,6008,2480,860,610,,978,19,114,189,...,,11629,,8953,766,4575,...,,1909,4676,4443,2685,256,18,,12703,3338,1686,9365,6194,2757,,1231,329,291,,5293,2533,388,226,430,478,,1371,1190,,1909,3092,835,2094,260,...,...,...,653,250,163,72,,7886,182,569,3893,3108,2313,,836,1746,2582,,59416
34,1910,1802,2,102,350,152,455,741,,8487,6098,6011,2389,868,561,,780,21,78,165,...,,11069,,7809,463,3977,...,,1910,4612,4349,2619,270,29,,12655,3290,1595,9365,6060,2930,,1235,293,274,,5072,2385,407,232,395,414,,1382,1213,,1910,3099,847,2076,249,...,...,...,621,361,176,76,,7271,183,465,3559,2822,2058,,770,1524,2294,,56498
35,1911,1561,11,129,344,181,502,394,,8233,5951,5872,2282,833,539,,853,27,88,150,...,,10647,,8643,1190,4113,...,,1911,4673,4403,2690,296,41,,12943,3413,1618,9530,6133,3020,,1256,346,268,,7097,4134,533,229,432,458,,1358,1214,,1911,3455,894,2344,272,...,...,...,673,404,217,89,,7139,195,523,3394,2685,2095,,844,1564,2408,,59619
36,1912,1324,3,102,220,132,421,446,,7833,5549,5495,2284,787,548,,854,34,102,179,...,,10011,,7256,333,3873,...,,1912,4875,4598,2786,270,38,,12408,3295,1623,9113,5701,3057,,1234,334,305,,4466,1802,374,252,430,401,,1376,1228,,1912,3234,891,2152,333,...,...,...,622,313,191,91,,7289,197,504,3444,2698,2122,,749,1204,1953,,54102
37,1913,1454,-,93,368,100,343,550,,7788,5552,5467,2236,803,518,,914,36,98,190,...,,10156,,8019,904,4024,...,,1913,4913,4660,2837,293,22,,12976,3352,1599,9624,5988,3213,,1246,342,315,,4440,1871,337,242,450,453,,1416,1277,,1913,3290,956,2096,301,...,...,...,608,286,238,93,,7111,159,460,3259,2581,2168,,590,1270,1860,,55427
38,1914,1287,-,74,300,97,374,442,,7591,5451,5375,2140,726,525,,825,27,68,189,...,,9703,,7196,432,3670,...,,1914,4987,4735,2886,296,44,,12793,3345,1615,9448,5783,3283,,1289,340,320,,4266,1784,346,261,423,450,,1388,1236,,1914,3187,946,2032,298,...,...,...,632,316,209,68,,6873,175,481,3052,2382,2179,,721,1226,1947,,53629
39,1915,1258,2,60,206,110,426,454,,7365,5326,5268,2039,722,484,,1099,30,71,165,...,,9722,,7243,574,3852,...,,1915,4888,4614,2836,283,30,,12225,3206,1583,9019,5532,3123,,1207,344,296,,3575,1322,323,238,352,427,,1342,1188,,1915,2900,835,1868,242,...,...,...,608,267,197,53,,6096,143,432,2511,1976,1985,,932,1394,2326,,51524
40,1916,1029,-,51,125,89,398,366,,7429,5277,5188,2152,705,559,,772,28,89,165,...,,9230,,7547,927,3946,...,,1916,4939,4677,2814,290,44,,12196,3102,1591,9094,5475,3233,,1132,283,301,,3358,1001,291,317,437,401,,1377,1222,,1916,2856,793,1854,257,...,...,...,561,280,209,64,,6002,132,427,2379,1840,2034,,812,1174,1986,,50623
41,1917,1156,-,63,196,114,392,391,,8047,5830,5728,2217,730,545,,801,18,88,162,...,,10004,,8261,818,4642,...,,1917,5135,4838,2903,319,57,,12600,3216,1657,9384,5622,3418,,1157,297,312,,3414,993,298,349,440,373,,1467,1303,,1917,2829,701,1894,235,...,...,...,614,259,234,50,,6026,97,420,2294,1811,2222,,1052,1361,2413,,53306
42,1918,1389,-,56,151,82,578,522,,7799,5825,5753,1974,602,554,,835,14,79,212,...,,10023,,28709,21491,4513,...,,1918,5176,4898,2946,373,63,,13235,3355,1682,9880,5948,3579,,1101,315,250,,3307,995,320,392,339,323,,1400,1258,,1918,2878,764,1884,257,...,...,...,602,230,230,58,,6154,82,393,2449,1985,2277,,1101,1950,3051,,75034
43,1919,1201,-,48,143,67,564,379,,7730,5733,5663,1997,674,463,,726,25,85,172,...,,9657,,10162,3486,4119,...,,1919,5196,4874,2913,342,41,,13101,2995,1596,10106,5959,3818,,1087,306,238,,2922,900,233,273,366,277,,1320,1197,,1919,2930,794,1930,235,...,...,...,608,306,206,53,,6242,191,426,2339,1859,2371,,962,1353,2315,,54932
44,1920,1594,-,69,455,63,674,333,,6984,5128,5072,1856,592,471,,1289,25,118,200,...,,9867,,9983,3518,4064,...,,1920,5186,4880,3002,350,50,,13305,3058,1553,10247,6132,3737,,1066,284,299,,3343,1285,221,333,401,269,,1401,1266,,1920,3146,876,1999,327,...,...,...,647,258,271,67,,6518,394,473,2577,1976,2304,,991,1186,2177,,55992
45,1921*,984,7,42,155,106,519,155,,6405,4928,4827,1477,532,310,,1032,13,112,237,...,,8421,,6171,456,3858,1191,,1921*,5326,5018,3009,318,55,,12309,2844,1497,9465,5471,3672,,1043,236,304,,3422,1278,132,304,427,232,,1451,1276,,1921*,3080,883,1917,350,285,69,3,495,281,280,60,,5832,338,444,2231,1649,2175,,848,1615,2463,,49518
46,1922,839,3,27,20,58,314,417,,6111,4726,4627,1385,458,310,,880,18,84,232,...,,7830,,7436,1706,3755,1300,,1922,5367,5062,2918,364,67,,12985,3156,1718,9829,5910,3553,,1146,299,339,,2837,818,95,289,377,263,,1667,1467,,1922,2882,926,1715,320,250,64,2,528,197,241,50,,5770,421,390,2144,1625,2287,,913,1459,2372,,50292
47,1923,646,2,28,145,61,200,210,,5873,4524,4439,1349,460,275,,926,52,69,220,...,,7445,,5013,538,2876,1060,,1923,5355,5051,2917,379,75,,12248,3000,1644,9248,5583,3349,,1047,263,334,,2795,762,33,297,372,262,,1668,1448,,1923,3139,914,1917,380,280,108,-,508,268,308,47,,5258,450,348,1854,1333,1979,,653,1362,2015,,45983
48,1924,408,2,21,53,39,180,113,,6005,4444,4345,1561,419,295,,906,28,82,186,...,,7319,,7036,1487,3523,1230,,1924,5733,5421,3236,386,82,,12830,3173,1635,9657,5835,3332,,1139,320,347,,2827,628,88,318,373,358,,1517,1201,,1924,2963,921,1844,330,244,94,-,485,226,198,46,,5703,403,351,2034,1492,2276,,776,1145,1921,,48988
49,1925,620,1,28,93,49,187,262,,6010,4559,4459,1451,447,279,,881,28,62,193,...,,7511,,6096,1115,3307,1069,,1925,5652,5319,3044,402,117,,13124,2947,1611,10177,6214,3546,,1147,310,361,,2691,583,71,290,390,352,,1729,1535,,1925,2976,855,1842,440,362,82,3,509,209,279,65,,5104,470,314,1790,1287,1935,,685,1162,1847,,47877
50,1926,552,1,27,132,59,115,218,,5728,4390,4303,1338,440,286,,807,16,48,176,...,,7087,,5411,798,3064,934,,1926,5658,5356,3072,439,126,,13384,3288,1823,10096,6125,3602,,1089,327,359,,2870,665,79,313,431,321,,1374,1169,,1926,3209,1027,1960,510,440,76,-,540,238,222,55,,4754,472,318,1704,1223,1589,,531,1085,1616,,46452
51,1927,531,-,29,69,81,151,201,,5601,4287,4214,1314,390,295,,894,29,66,199,...,,7026,,7447,2656,3071,1147,,1927,5936,5648,3284,440,132,,13898,3268,1796,10630,6296,3949,,1147,317,408,,2812,588,75,321,433,313,,1371,1152,,1927,3255,972,2118,515,438,85,-,607,243,165,66,,4953,376,260,1765,1237,1762,,528,829,1357,,49202
52,1928,743,-,34,235,62,200,212,,5435,4137,4054,1298,378,279,,974,25,98,181,...,,7152,,5573,762,3168,1003,,1928,5781,5493,3213,419,129,,14401,3406,1961,10995,6401,4234,,1206,264,409,,2978,521,87,321,479,382,,1269,1034,,1928,3520,1023,2330,625,552,80,1,646,285,167,55,,4880,390,307,1797,1326,1666,,573,730,1303,,48063
53,1929,447,-,37,50,51,208,101,,5347,4110,4043,1237,334,294,,1023,38,115,187,...,,6817,,7145,1778,3600,1212,,1929,6006,5710,3380,397,135,,14634,3427,2051,11207,6554,4229,,1232,268,429,,3007,462,81,346,508,355,,1271,1009,,1929,3631,982,2436,640,563,77,4,719,233,213,69,,5237,421,314,1753,1219,1855,,790,668,1458,,50438
54,1930,456,-,32,35,34,224,131,,5056,3892,3827,1164,354,237,,912,19,82,196,...,,6424,,5133,513,3058,1013,,1930,5994,5696,3323,445,155,,14073,3266,1796,10807,6222,4140,,1285,324,445,,2805,426,84,327,504,382,,1312,1046,,1930,3601,1057,2331,715,627,91,3,558,222,213,66,,5153,281,298,1789,1230,1702,,618,541,1159,,46939
55,1931*,370,-,34,84,37,127,88,,4974,3837,3768,1137,320,247,,873,58,86,246,...,,6217,,6782,1855,3127,969,,1931*,5976,5671,3261,442,167,,14752,3075,1904,11677,6648,4585,,1219,305,423,,3013,408,...,312,509,551,,1427,1177,,1931*,3562,1010,2323,660,577,84,4,667,198,229,59,,5022,215,299,1533,1082,1820,,712,732,1444,,49414
56,1932,431,-,31,87,36,92,185,,4749,3591,3529,1158,313,237,,899,27,101,281,...,,6079,,6337,1924,2854,838,,1932,6220,5841,3372,470,164,,15185,2998,1873,12187,6540,4928,,1123,232,456,,3066,398,...,315,538,555,,1467,1188,,1932,3904,1218,2437,730,653,78,7,693,251,249,85,,5070,156,300,1609,1121,1714,,862,598,1460,,49911
57,1933,310,-,34,28,34,130,84,,4387,3338,3284,1049,260,257,,831,28,88,270,...,,5528,,5161,1137,2586,618,,1933,6169,5749,3301,493,169,,14637,2613,1381,12024,6640,4720,,1167,270,522,,3019,335,...,337,530,577,,1436,1165,,1933,3700,1126,2372,690,643,49,6,690,201,202,81,,4744,84,309,1605,1078,1454,,1043,577,1620,,47181
58,1934,307,-,31,81,38,93,64,,4196,3235,3177,961,251,203,,798,17,97,232,...,,5301,,4477,464,2612,689,,1934,6598,6102,3458,510,207,,14696,2421,1262,12275,6928,4656,,1294,253,635,,2980,298,...,351,520,563,,1489,1160,,1934,3558,1097,2297,700,625,69,12,718,166,164,53,,4754,80,309,1650,1075,1469,,1186,473,1659,,46806
59,1935,279,-,24,25,35,94,101,,4035,3124,3081,911,220,194,,776,46,71,238,...,,5090,,6096,1895,2644,779,,1935,6721,6239,3587,450,195,,16271,2621,1374,13650,7452,5353,,1308,287,596,,3130,333,...,375,539,542,,1465,1140,,1935,3589,1095,2299,665,604,65,1,716,198,195,73,,4888,48,302,1668,1134,1525,,1161,514,1675,,50233
60,1936,245,-,27,29,26,45,118,,3944,3112,3052,832,205,179,,836,121,69,237,...,,5025,,4795,632,2798,674,,1936,6698,6224,3499,506,218,,15667,2531,1338,13136,7186,5090,,1269,259,641,,2998,287,...,305,524,479,,1561,1232,,1936,3550,1158,2205,700,629,68,11,687,146,187,62,,4708,79,285,1600,1041,1436,,960,419,1379,,47650
61,1937,325,-,26,91,25,37,146,,3627,2817,2770,810,202,198,,838,177,48,201,...,,4790,,4930,683,2847,644,,1937,6887,6375,3574,519,231,,15331,2393,1308,12938,7256,4779,,1153,237,595,,2998,247,...,303,547,466,,1678,1238,,1937,3467,1000,2285,660,599,62,6,757,159,182,53,,4625,80,281,1575,1034,1391,,992,423,1415,,47274
62,1938,192,-,31,20,34,50,57,,3450,2647,2616,803,188,167,,766,39,60,232,...,,4408,,5805,1199,3196,667,,1938,7407,6846,3792,562,274,,16270,2441,1294,13829,7914,4906,,1339,257,678,,2886,237,...,290,492,454,,1536,1173,,1938,3349,1028,2151,675,631,45,7,726,137,170,55,,4628,55,266,1517,982,1395,,569,379,948,,48576
63,1939,189,-,40,5,28,33,83,,3371,2603,2569,768,174,171,,692,53,42,216,...,,4252,,6265,1996,2795,699,,1939,7247,6634,3563,581,291,,17426,2624,1462,14802,8322,5409,,1222,256,586,,2769,187,...,295,473,470,,1482,1141,,1939,3306,1001,2128,620,525,89,13,715,142,177,54,,4572,56,227,1573,1041,1417,,636,307,943,,49484
64,1940,301,-,28,81,15,41,136,,3303,2491,2455,812,208,175,,772,34,34,206,...,,4376,,6116,1593,2942,798,,1940,7437,6815,3690,554,301,,18575,2780,1500,15795,8573,6073,,1247,301,562,,2673,226,...,280,446,484,,1441,1184,,1940,3259,996,2084,545,459,89,2,730,159,179,40,,4568,52,220,1559,1036,1520,,708,359,1067,,50759
65,1941,176,-,13,17,18,59,69,,3372,2540,2515,832,214,178,,840,149,27,216,...,,4388,,3674,336,2100,591,,1941,7384,6790,3670,596,315,,17937,2711,1440,15226,8205,5892,,1092,258,494,,2700,201,...,364,398,418,,1362,1128,,1941,3422,1038,2202,470,351,122,1,755,228,182,68,,4536,44,150,1797,1184,1263,,578,263,841,,47336
66,1942*,196,-,11,17,31,97,40,,3534,2692,2652,842,211,171,,834,84,23,237,...,,4564,,3675,304,2219,520,,1942*,7454,6771,3619,538,309,,17363,2544,1356,14819,7902,5690,,1077,233,465,,2674,219,...,413,342,375,,1262,1057,,1942*,3362,995,2195,410,312,105,1,797,183,172,46,,4596,46,199,1870,1275,1244,,631,270,901,,46928
67,1943,263,-,7,14,28,152,62,,3304,2536,2503,768,166,186,,814,34,31,211,...,,4381,,3643,198,2280,479,,1943,7903,7213,3724,629,412,,17678,2434,1240,15244,8402,5519,,1070,283,339,,2559,285,...,373,309,354,,1273,1049,,1943,3401,1029,2175,415,306,113,2,792,207,197,54,,4727,76,177,1963,1281,1189,,534,240,774,,47409
68,1944,350,-,10,18,8,162,152,,3543,2756,2709,787,182,185,,1003,224,29,186,...,,4896,,5359,1240,2788,578,,1944,7771,7084,3759,626,352,,19621,2620,1412,17001,9381,6091,,1137,285,465,,2759,337,...,424,315,376,,1245,1033,,1944,3632,1116,2281,335,244,96,1,852,179,235,56,,5051,79,216,2045,1418,1312,,607,258,865,,52336
69,1945,374,-,11,23,59,212,69,,3644,2897,2856,747,157,169,,725,27,23,217,...,,4743,,4360,599,2517,444,,1945,7983,7350,3795,698,409,,19391,2486,1333,16905,9299,6007,,1062,302,377,,2825,345,...,437,347,372,,1344,1069,,1945,3773,1227,2342,300,211,90,5,826,212,204,79,,4795,80,201,2202,1443,1019,,607,203,810,,51086
70,1946,312,-,16,9,20,189,78,,3389,2662,2614,727,179,150,,836,71,17,189,...,,4537,,3914,582,2207,423,,1946,8001,7289,3683,671,466,,20017,2396,1321,17621,9528,6273,,1122,330,428,,2496,241,...,370,329,352,,1345,1089,,1946,3579,1162,2294,575,464,100,15,747,184,123,49,,4617,96,154,2261,1449,952,,489,159,648,,50276
71,1947,322,-,19,25,23,194,61,,3055,2403,2381,652,160,127,,797,88,24,177,...,,4174,,4188,702,2287,431,,1947,8090,7325,3655,646,480,,21115,2549,1383,18566,9851,6689,,1163,365,453,,2584,249,...,378,363,396,,1232,988,,1947,3808,1142,2539,795,647,150,6,798,225,127,36,,4561,113,154,2160,1382,1042,,364,105,469,,51384
72,1948,245,-,10,4,18,128,85,,2411,1887,1867,524,130,87,,641,58,14,151,...,,3297,,2996,258,1740,332,,1948,8338,7520,3762,722,560,,21411,2336,1285,19075,10006,6804,,1284,430,514,,2606,234,...,363,297,452,,1376,1126,,1948,3542,1036,2367,830,711,122,3,742,137,139,45,,4388,128,154,2121,1382,924,,335,106,441,,49679
73,1949,209,-,9,20,16,63,101,,1956,1512,1498,444,115,81,,665,75,16,153,...,,2830,,3379,613,1734,376,,1949,8366,7531,3736,724,564,,21692,2129,1159,19563,9932,7073,,1234,380,533,,2596,237,...,320,301,550,,1205,940,,1949,3608,1102,2370,750,639,107,9,793,182,136,37,,4166,82,141,1977,1230,968,,298,123,421,,49497
